일반명코드,일반명
101301AEL,ace
D13800ACS,ace
D13700ACS,ace
D13700ACS,ace
D13600ACS,ace
D13600ACS,ace
D13500ACS,ace
D13800ACS,ace
D12600ATB,ace
D12000ACH,ace
D11900ACS,ace
D11800ACS,ace
D11200ATB,ace
D10900ACS,ace
D10900ACS,ace
D12500ATB,ace
D13900ACH,ace
D14000ACH,ace
D14400ATB,ace
D17600ACS,ace
D17600ACS,ace
D17500ACS,ace
D17500ACS,ace
D17400ACS,ace
D17400ACS,ace
D17300ACS,ace
D17300ACS,ace
D17200ACS,ace
D17200ACS,ace
D16500ATB,ace
D16000ALQ,ace
D15800ACS,ace
D14800ATB,ace
D14700ATB,ace
D10800ACS,ace
D10500ACH,ace
D10100ACH,ace
D08500ALQ,ace
C98100ACH,ace
C97600ACS,ace
C97300ACS,ace
C96500ACH,ace
C96200ACS,ace
C95900ACH,ace
C95700ACS,ace
C95600ACS,ace
C95500ACS,ace
C94700ACS,ace
C94700ACS,ace
C94200ACS,ace
C93900ATB,ace
C93900ACH,ace
C93800ACS,ace
C98900ACS,ace
D19500ACS,ace
C99100ACS,ace
D01600ACS,ace
D08400ACS,ace
D08400ACH,ace
D07700ALQ,ace
D07600ALQ,ace
D04900ALQ,ace
D04100ATB,ace
D04000ATB,ace
D03900ASY,ace
D03800ACS,ace
D03500ACH,ace
D03100ATB,ace
D03000ATB,ace
D02900ATB,ace
D02800ATB,ace
D01900ATB,ace
D00800ACS,ace
C93700ACS,ace
D19700ACS,ace
D21100ACH,ace
D39500ATB,ace
D38600ASY,ace
D38600ASY,ace
D37800ACH,ace
D37700ACS,ace
D37600ACS,ace
D40300ACS,ace
D37500ACS,ace
D37000ACS,ace
D36700ASY,ace
D36600ASY,ace
D34600ATB,ace
D34100ATB,ace
D33200ACH,ace
D37400ACS,ace
D40600ATB,ace
D41000ACH,ace
D41100ACS,ace
D44800ACS,ace
D44700ACS,ace
D44600ACS,ace
D44500ACS,ace
D44400ATB,ace
D44100ASY,ace
D43800ACS,ace
D43700ACS,ace
D43600ACS,ace
D42900ACS,ace
D42800ATB,ace
D42700ACS,ace
D42500ACH,ace
D41900ACS,ace
D41800ACS,ace
D33100ATB,ace
D32300ACH,ace
D32200ATB,ace
D32100ACH,ace
D24500ACS,ace
D24500ACS,ace
D24000ACS,ace
D23900ACS,ace
D23800ACS,ace
D23400ACH,ace
D22600ACS,ace
D22600ACS,ace
D22400ACS,ace
D22300ACS,ace
D22200ACS,ace
D22100ACS,ace
D22000ACS,ace
D21400AGN,ace
D21200ACH,ace
D26700ACS,ace
D19700ACS,ace
D27100ACS,ace
D27200ACS,ace
D30900ACS,ace
D30800ACS,ace
D30700ACS,ace
D29500ACH,ace
D29300AGN,ace
D29200ACS,ace
D29100ACS,ace
D29000ACS,ace
D28800ACS,ace
D28500ACS,ace
D28300ACH,ace
D28200ACS,ace
D28100ACS,ace
D28000ACS,ace
D27900ACS,ace
D27100ACS,ace
D46300ASY,ace
C92600ACS,ace
C92400ACS,ace
B85800ASY,ace
B85700ASY,ace
B66700AGN,ace
B65600ACH,ace
B64600ACH,ace
B58500ACH,ace
B86100ASY,ace
B58400ACE,ace
B54100ASY,ace
B54000ACH,ace
B53600ACH,ace
B52700ACH,ace
B52600ACH,ace
B52500ACH,ace
B54200ACH,ace
B86200ASY,ace
B86300ASY,ace
B86600ALQ,ace
B90200ACH,ace
B89400ASY,ace
B89100ACH,ace
B89100ACE,ace
B89000ACE,ace
E65900ATB,ace
B88400ACH,ace
B88300ACH,ace
B88200ACH,ace
B88100ACH,ace
B87700ACH,ace
B87600ACH,ace
B87300ASY,ace
B87000ACH,ace
B86900ACH,ace
B52300ACH,ace
