offeringService,shopCode,address_si,address_gu,address,shopName,latitude,longitude,count_address_gu
,V6Y89,수원시,영통구,경기 수원시 영통구 도청로지하 45 (이의동 177-18),GS25S광교중앙역점,127.0519303,37.28885562,101
"['cafe25', 'drug', 'withdrawal']",V2020,수원시,장안구,경기 수원시 장안구 광교산로140번길3(연무동 6-4),GS25경기대점,127.03049531,37.29994556,74
"['cafe25', 'drug', 'post', 'withdrawal']",VDF75,수원시,영통구,"경기 수원시 영통구 대학1로8, 1층 (이의동 1276-7)",GS25경기대후문점,127.04239399,37.29737522,101
"['cafe25', 'drug', 'post', 'atm', 'withdrawal', 'smart_atm']",V4K69,수원시,영통구,"경기 수원시 영통구 도청로65 (이의동 1344, 자연앤힐스테이트상가1동지하2층117호)",GS25경기도청역점,127.05069329,37.28767429,101
"['cafe25', 'instant', 'drug', 'post', 'atm', 'withdrawal', 'smart_atm']",V5U57,수원시,팔달구,경기 수원시 팔달구 고화로62번길1(고등동 29-16),GS25고등오거리점,127.00639343,37.27488473,77
"['drug', 'post', 'atm', 'withdrawal', 'smart_atm']",V5M62,수원시,팔달구,"경기 수원시 팔달구 고매로1, 102호 (고등동 116-1)",GS25고등중앙점,127.00418208,37.2698471,77
"['cafe25', 'drug', 'post', 'withdrawal']",VEF82,수원시,팔달구,"경기 수원시 팔달구 고등로8, 수원고등C1아파트 상가 102호 (고등동 215-53)",GS25고등타운점,126.9987128,37.27246818,77
"['cafe25', 'post', 'withdrawal']",V6N95,수원시,팔달구,"경기 수원시 팔달구 고등로15, 55호 (고등동 156-117)",GS25고등푸르지오점,126.99857421,37.27697244,77
"['cafe25', 'instant', 'drug', 'post', 'withdrawal']",V8C78,수원시,권선구,"경기 수원시 권선구 고현로5번길25, 상가동 101호 (고색동 306-1, 거산아파트)",GS25고색거산점,126.98609806,37.24789628,100
"['drug', 'post', 'atm', 'withdrawal']",V5Z74,수원시,권선구,경기 수원시 권선구 매송고색로711번길10(고색동 890-130),GS25고색대성점,126.98200967,37.25184402,100
"['cafe25', 'drug', 'post', 'withdrawal']",V6N49,수원시,권선구,"경기 수원시 권선구 오목천로152번길60, 109,110호 (고색동 948)",GS25고색리치아노점,126.97772277,37.24208433,100
"['cafe25', 'instant', 'drug', 'post', 'withdrawal']",VT544,수원시,권선구,"경기 수원시 권선구 산업로156번길142-10, A동 117호 (고색동 1152, 수원벤처밸리2)",GS25고색밸리점,126.98640509,37.23843746,100
"['cafe25', 'drug', 'post', 'withdrawal']",VN307,수원시,권선구,"경기 수원시 권선구 오목천로152번길68,  117호(고색동 950, 골든프라자)",GS25고색산단점,126.97796698,37.24152776,100
"['cafe25', 'drug', 'post']",V6D74,수원시,권선구,경기 수원시 권선구 고색로14번길29 (고색동 397-33),GS25고색타운점,126.97927134,37.24760335,100
"['cafe25', 'instant', 'drug', 'post', 'atm', 'withdrawal', 'smart_atm']",V5F76,수원시,권선구,경기 수원시 권선구 곡선로50번길45-4 (곡반정동 577-1),GS25곡반빌리지점,127.02879295,37.23667512,100
"['cafe25', 'instant', 'drug', 'post', 'withdrawal']",V8C89,수원시,권선구,"경기 수원시 권선구 동수원로146번길281-25, B108호 (곡반정동 548, 권선신일유토빌)",GS25곡반유토빌점,127.0299092,37.24015348,100
"['cafe25', 'instant', 'drug', 'post', 'atm', 'withdrawal', 'smart_atm']",V4X29,수원시,권선구,"경기 수원시 권선구 동수원로146번길308-1, 101호 (곡반정동 534-12)",GS25곡반정원룸점,127.03071406,37.24243083,100
"['cafe25', 'instant', 'drug', 'post']",V2F74,수원시,영통구,"경기 수원시 영통구 광교마을로156 (하동 1001, 광교마을40단지)",GS25광교40단지점,127.0807457,37.29531846,101
"['cafe25', 'instant', 'drug', 'post', 'withdrawal']",V3X55,수원시,영통구,"경기 수원시 영통구 센트럴파크로34, 상가동 103호 (하동 1013, 광교센트럴타운62단지)",GS25광교62단지점,127.06358671,37.28925478,101
"['cafe25', 'drug', 'post']",VI980,수원시,영통구,"경기 수원시 영통구 센트럴타운로76, 2동 103호 (이의동 1326, 이편한세상광교)",GS25광교대림점,127.05465658,37.29179695,101
"['drug', 'post', 'withdrawal', 'delivery_service']",VS403,수원시,영통구,"경기 수원시 영통구 대학3로4번길15, 제지 1층 112호 (이의동 1256-1)",GS25광교대학로점,127.04324649,37.30041878,101
"['cafe25', 'drug', 'post', 'atm', 'withdrawal', 'smart_atm']",V2Z39,수원시,영통구,"경기 수원시 영통구 광교로114 (이의동 1351-1, 광교데시앙루브)",GS25광교데시앙점,127.04579542,37.29061751,101
"['cafe25', 'instant', 'drug', 'post', 'atm', 'withdrawal', 'smart_atm', 'self_cook']",VS740,수원시,영통구,"경기 수원시 영통구 대학로34, 111호 (이의동 1258-4, 동진캠퍼스프라자)",GS25광교동진점,127.04366712,37.29926879,101
"['drug', 'post']",V8R25,수원시,영통구,"경기 수원시 영통구 센트럴파크로60, 상가동 107, 108호 (이의동 1304, 래미안광교)",GS25광교래미안점,127.06131777,37.29123723,101
"['cafe25', 'drug', 'post']",V8V46,수원시,영통구,"경기 수원시 영통구 광교호수공원로20, 1층 114호 (원천동 605, 더샵광교레이크시티)",GS25광교레이크점,127.06040767,37.27191064,101
"['cafe25', 'drug', 'post', 'withdrawal']",VU920,수원시,영통구,"경기 수원시 영통구 센트럴타운로114, 광교메디톡스 연구소 1층 (이의동 1322-8)",GS25광교메디톡스점,127.04953248,37.2929904,101
"['cafe25', 'drug', 'post', 'withdrawal', 'self_cook', 'delivery_service']",V6G48,수원시,영통구,"경기 수원시 영통구 법조로149번길127, 102호 GS25광교센타점 (하동)",GS25광교센타점,127.0694753,37.29279745,101
"['cafe25', 'instant', 'drug', 'post', 'withdrawal', 'delivery_service']",V3F44,수원시,영통구,"경기 수원시 영통구 도청로10, 1층 (이의동 1338)",GS25광교센트럴점,127.05571181,37.2867773,101
"['cafe25', 'post', 'withdrawal']",VEV34,수원시,영통구,"경기 수원시 영통구 광교호수로152번길23, 101호 (하동 1027, 광교LAKEPARK한양수자인)",GS25광교수자인점,127.07133896,37.28064737,101
"['cafe25', 'instant', 'drug', 'post', 'withdrawal']",V3F45,수원시,영통구,"경기 수원시 영통구 도청로10, 지하1층 갤러리아 방면 (이의동 1338)",GS25광교아울렛점,127.05591027,37.28623823,101
"['cafe25', 'instant', 'post', 'withdrawal']",V7R25,수원시,영통구,"경기 수원시 영통구 광교중앙로49번길40, 상가 3호, 4호 (원천동 559, 광교원천경기행복주택)",GS25광교원천점,127.0499278,37.28038735,101
"['cafe25', 'post', 'withdrawal']",VEN65,수원시,영통구,"경기 수원시 영통구 대학1로58번길7, 1층 (이의동 1263-12)",GS25광교제일점,127.04589236,37.29901642,101
"['cafe25', 'drug', 'post']",V7G73,수원시,영통구,"경기 수원시 영통구 광교호수공원로277, 근생상가 15호 23호 (원천동 589, 광교중흥에스클래스)",GS25광교중앙로점,127.05540877,37.28395448,101
"['cafe25', 'post']",V8K69,수원시,영통구,"경기 수원시 영통구 도청로65, 힐스테이트2상가 104호 (이의동 1344)",GS25광교중앙점,127.05069329,37.28767429,101
